UNIDIL,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,,,,,,,,,,,,,,,,,,,,,,,,
,Jan 1,Jan 2,Jan 3,Jan 4,Jan 5,Jan 6,Jan 7,Jan 8,Jan 9,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Mar 1,Mar 2,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25
1. Planned Production:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrugator (MT),-,73.39,-,-,53.66,89.42,94.59,74.27,98.99,83.96,-,61.53,73.76,75.6,-,72.14,29.33,-,87.54,83.57,88.85,78.89,107.17,89.94,-,85.04,68.44,63.14,58.1,59.51,61.04,-,59.08,43.96,-,88.73,71.66,73.4,-,58.7,63.56,87.6,81.55,98.14,70.83,-,88.12,106.81,96.03,104.81,100.1,93.54,-,95.25,168.28,88.09,42.88,75.9,67.52,-,-,92.48,85.54,67.14,88.72,110..51,-,84.08,91.15,83.18,107.95,87.47,112.56,-,81.06,-,87.84,132.75,,,,,,
Tuber (Qty),-,"100,000",-,-,"80,000","80,000","60,000","30,000","50,000","50,000","15,000","78,000","75,000","75,000","50,000",-,-,-,"40,000","50,000","25,000","30,000","40,000","5,000",-,"80,000","80,000","120,000","75,000","100,000","75,000",-,"70,000","40,000",-,"25,000",-,"50,000",-,"40,000","50,000","50,000","32,000","50,000","90,000",-,"120,000","120,000","120,000","75,000","120,000","50,000",-,"50,000","40,000",-,"30,000","30,000","18,000",-,-,"25,000","60,000","60,000","90,000","120,000","120,000","110,000","110,000","100,000","50,000","50,000","60,000","40,000","40,000","50,000","50,000","30,000",,,,,,
2. Actual Production:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrugator (MT),-,95.47,-,-,74.97,99.29,92.78,90.94,147.45,91.56,-,83.46,92.85,100.39,-,94.99,48.98,-,95.98,103.78,109.67,100.81,107.39,91.99,-,78.82,85.81,92.15,87.86,100.13,89.66,-,80.8,89.07,-,95.04,104.06,91.14,-,83.56,84.29,90.16,83.26,92.98,101.95,-,87.26,93.35,103.85,107.45,99.05,136.48,-,90.77,114.79,134.36,72.37,146.91,60.04,-,-,56.31,83.37,124.68,68.56,98.62,-,89.38,91.35,82.76,85.87,87.51,125.98,-,82.98,95.16,104.06,100.75,,,,,,
Printing (MT),-,58.54,-,-,70.39,49.06,110.82,49.91,68.77,88.69,-,58.35,65.47,91.9,-,82.34,29.97,-,84.66,96.85,69.32,68.44,95.16,75.1,-,74.16,73.68,72.76,53.77,69.97,120.25,-,51.52,40.05,-,38.82,79.42,79.08,-,77.58,28.46,117,52.9,82.7,71.49,-,52.29,93.58,82.83,49.3,81.44,65.15,-,75.86,85.47,76.48,69.09,73.18,119.63,-,-,70.17,62.72,52.23,105.19,57.82,-,94.03,92.75,99.28,49.79,85.8,75.31,-,73.35,64.74,92.82,39.73,,,,,,
Finishing (MT),-,55.56,-,-,96.52,52.04,134.58,75.92,66.72,115.33,-,85.8,66.85,95.47,-,110.07,66.43,-,109.64,113.07,97.89,91.86,84.64,84.63,-,117.74,74.46,81.84,89.82,86.38,179.43,-,56.23,64.79,-,75.66,76.39,103.99,-,83.71,64,104.47,108.57,87.82,90.17,-,73.65,117.57,-,86.59,85.73,60.05,-,116.01,113.56,116.69,89.22,89.25,129.63,-,-,90.87,66.51,86.81,103.29,84.94,-,82.5,108.17,113.92,87.15,86.16,-,-,96.44,107.73,110.67,85.06,,,,,,
Tuber (Qty),-,"80,680",-,-,"72,799","68,136","52,578","28,756","45,173","38,759","13,643","74,388","63,600","66,108","25,002","47,163","40,059",-,"31,211","43,804","21,430","26,102","33,230","5,260",-,"65,553","71,648","114,750","71,000","87,728","66,458",-,"58,124","30,920",-,"19,657",-,"44,685",-,"37,122","48,000","36,645","28,271","27,942","78,153",-,"101,791","121,262","91,577","48,000","135,125","34,356",-,"49,666","26,279",-,"19,815","25,417","16,550",-,-,"15,528","40,101","50,471","58,311","108,666","96,720","96,575","102,461","85,797","42,456","32,862","57,600","38,532","28,666","48,040","48,250","28,153",,,,,,
3. Yield:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrugator (%),-,99.06,-,-,99.65,99.59,99.32,99.63,98.91,99.46,-,99.26,99.46,99.4,-,99.48,99.12,-,99.34,99.66,99.38,99.47,99.35,99.37,-,99.3,99.5,99.21,99.27,99.27,99.44,-,99.32,99.52,-,99.24,99.43,99.24,-,99.38,99.31,99.09,99.01,99.02,99.17,-,99.2,99.05,-,-,-,-,-,-,-,-,-,-,-,-,-,99.63,99.22,99.19,99.34,99.28,-,99.38,99.37,99.38,98.96,99.44,99.44,-,99.32,99.38,,,,,,,,
Tuber (%),-,98.91,-,-,99.72,99.44,99.17,99.65,99.45,99.27,99.48,99.86,95.4,99.43,99.74,99.89,99.89,-,99.35,99.57,99.3,97.98,99.15,96.96,-,98.91,99.1,99.57,99.78,99.51,99.16,-,99.18,99.48,-,99.76,-,99.74,-,99.48,99.47,98.94,99.44,93.6,98.58,-,99.36,99.6,99.25,99.29,99.78,99.09,-,99.49,96.98,-,99.55,99.81,98.55,-,-,96.97,97.34,98.34,98.02,99.7,99.37,99.03,99.65,99.65,96.64,98.93,99.62,99.12,98.63,99.5,99.62,99.86,,,,,,
4. Rejections:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrugator (MT),-,0.892,-,-,0.259,0.398,0.628,0.34,1.611,0.498,-,0.614,0.499,0.601,-,0.495,0.43,-,0.63,0.353,0.675,0.535,0.702,0.581,-,0.549,0.428,0.728,0.645,0.735,0.505,-,0.551,0.425,-,0.721,0.597,0.689,-,0.516,0.578,0.821,0.826,0.908,0.846,-,0.699,0.889,-,-,-,-,-,-,-,-,-,-,-,-,-,0.211,0.65,1.015,0.452,0.713,-,0.555,0.576,0.51,0.891,0.49,0.703,-,0.564,0.592,,,,,,,,
Tuber(Qty),-,880,-,-,204,384,436,101,250,282,70,105,2928,377,64,49,42,-,202,186,149,525,283,160,-,712,659,494,157,427,561,-,476,160,-,47,-,114,-,194,256,387,158,1788,1108,-,648,484,683,341,299,314,-,253,793,-,90,49,240,-,-,470,"1,068",840,"1,156",326,609,940,354,301,"1,426",352,218,339,392,239,184,40,,,,,,
5. Stoppages:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrugator (min),-,50,-,-,44,197,-,-,30,20,-,190,13,-,-,-,-,-,96,43,80,35,48,47,-,72,68,85,45,-,60,-,82,34,-,89,86,45,-,146,90,53,54,25,-,-,-,-,18,-,8,-,-,-,-,-,-,-,-,-,-,-,-,180,33,5,-,-,-,10,-,24,10,-,25,30,16,,,,,,,
Printing (h),-,17.75,-,-,30.75,22,17.7,15.5,12.6,19.9,-,25.85,29.55,14,-,21.15,-,-,-,-,32.75,15.83,16.52,16.33,-,24.66,22.29,42.2,17.5,37.79,21.3,-,17.95,33.2,-,17.92,25.71,20.04,-,-,24.31,27.61,20.88,28.95,32.8,-,32.86,15.5,-,9.45,32.72,19.37,-,28.64,30.58,20.1,24,-,-,-,-,49.45,54.45,26.45,19.22,32.3,-,17.75,21.56,28.9,-,28.15,37.51,-,36.6,44.45,42.52,27.33,,,,,,
Tuber (min),-,60,-,-,89,133.78,611,164,427,480,197,518,534,295,74.5,304,246,-,458,290,112,482,306,96,-,353,430,115,85,257,423,-,486,184.8,-,44,-,144,-,245,277,493,184,744,295,-,273,140,695,350,58,595,-,310,728,-,220,119,177,-,-,990,629,193,708,211,387,372,346,400,358,579,195,616,559,211,296,166,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,